shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
linea_a,-53.8032488,-67.6617656,1,0
linea_a,-53.803109,-67.662585,2,0.056
linea_a,-53.802057,-67.662081,3,0.178
linea_a,-53.802659,-67.658926,4,0.396
linea_a,-53.802913,-67.657253,5,0.51
linea_a,-53.803109,-67.656201,6,0.583
linea_a,-53.803686,-67.653884,7,0.748
linea_a,-53.803844,-67.653036,8,0.806
linea_a,-53.804294,-67.651695,9,0.907
linea_a,-53.804712,-67.651985,10,0.957
linea_a,-53.806493,-67.653497,11,1.179
linea_a,-53.8065987,-67.6529854,12,1.215
linea_a,-53.8072576,-67.6537951,13,1.306
linea_a,-53.8078958,-67.6545431,14,1.392
linea_a,-53.806588,-67.6585963,15,1.696
linea_a,-53.8064258,-67.6588408,16,1.72
linea_a,-53.8058562,-67.6614986,17,1.906
linea_a,-53.8109954,-67.6646877,18,2.515
linea_a,-53.810877,-67.6654385,19,2.566
linea_a,-53.810129,-67.669011,20,2.815
linea_a,-53.8098864,-67.6703903,21,2.91
linea_a,-53.8097462,-67.671076,22,2.958
linea_a,-53.8095791,-67.6716545,23,3
linea_a,-53.8109229,-67.6718669,24,3.15
linea_a,-53.8111553,-67.6719761,25,3.177
linea_a,-53.8113697,-67.6722984,26,3.209
linea_a,-53.8115062,-67.6727374,27,3.242
linea_a,-53.8121935,-67.6754382,28,3.435
linea_a,-53.8138073,-67.6743046,29,3.629
linea_a,-53.8141924,-67.6740428,30,3.675
linea_a,-53.8157731,-67.6752287,31,3.867
linea_a,-53.8153863,-67.6768484,32,3.982
linea_a,-53.814196,-67.681961,33,4.343
linea_a,-53.813727,-67.681983,34,4.395
linea_a,-53.809014,-67.684472,35,4.945
linea_a,-53.808729,-67.684654,36,4.979
linea_a,-53.808273,-67.684715,37,5.03
linea_a,-53.80833,-67.684933,38,5.046
linea_a,-53.800461,-67.688999,39,5.962
linea_a,-53.799814,-67.689192,40,6.035
linea_a,-53.799048,-67.689267,41,6.12
linea_a,-53.798725,-67.689203,42,6.156
linea_a,-53.798439,-67.689214,43,6.188
linea_a,-53.796356,-67.6889723,44,6.42
linea_a,-53.794688,-67.68887,45,6.606
linea_a,-53.794434,-67.688763,46,6.635
linea_a,-53.793084,-67.688656,47,6.785
linea_a,-53.791399,-67.691102,48,7.032
linea_a,-53.790879,-67.691177,49,7.09
linea_a,-53.789979,-67.692003,50,7.204
linea_a,-53.78989,-67.692379,51,7.231
linea_a,-53.789897,-67.692658,52,7.249
linea_a,-53.790131,-67.693022,53,7.284
linea_a,-53.785796,-67.70152,54,8.022
linea_a,-53.785124,-67.700629,55,8.117
linea_a,-53.782474,-67.696724,56,8.508
linea_a,-53.782265,-67.696885,57,8.534
linea_a,-53.782943,-67.697968,58,8.638
linea_a,-53.785678,-67.70182,59,9.034
linea_a,-53.782163,-67.70888,60,9.641
linea_a,-53.786487,-67.715092,61,10.272
linea_a,-53.783729,-67.720488,62,10.741
linea_a,-53.786867,-67.725155,63,11.206
linea_a,-53.787,-67.725316,64,11.224
linea_a,-53.78726,-67.726191,65,11.288
linea_a,-53.787526,-67.726314,66,11.319
linea_a,-53.78809,-67.726464,67,11.383
linea_a,-53.788356,-67.726711,68,11.417
linea_a,-53.800486,-67.744339,69,13.197
linea_a,-53.798078,-67.749107,70,13.609
linea_a,-53.798538,-67.749692,71,13.673
linea_a,-53.798921,-67.750127,72,13.724
linea_a,-53.799976,-67.751055,73,13.856
linea_a,-53.800534,-67.751495,74,13.925
linea_a,-53.801665,-67.752707,75,14.074
linea_a,-53.80245,-67.753812,76,14.188
linea_a,-53.802811,-67.754477,77,14.247
linea_a,-53.803439,-67.755829,78,14.36
linea_a,-53.804034,-67.757267,79,14.475
linea_a,-53.801785,-67.761751,80,14.862
linea_a,-53.795924,-67.753415,81,15.714
linea_a,-53.789434,-67.766013,82,16.813
linea_a,-53.788974,-67.766826,83,16.887
linea_a,-53.7939768,-67.7741079,84,17.621
linea_a,-53.794209,-67.7742721,85,17.649
linea_a,-53.7954211,-67.7741781,86,17.784
linea_a,-53.7955133,-67.7778457,87,18.025
linea_a,-53.7954832,-67.7782991,88,18.055
linea_a,-53.7953947,-67.7786605,89,18.081
linea_a,-53.797124,-67.780004,90,18.293
linea_a,-53.798278,-67.780573,91,18.427
linea_a,-53.797656,-67.784056,92,18.666
linea_a,-53.796241,-67.78334,93,18.83
linea_a,-53.795135,-67.782433,94,18.967
linea_a,-53.794055,-67.781408,95,19.105
linea_a,-53.794899,-67.778295,96,19.33
linea_a,-53.7953947,-67.7786605,97,19.39
linea_a,-53.7955018,-67.7783274,98,19.415
linea_a,-53.7955329,-67.7778453,99,19.447
linea_a,-53.7954481,-67.774138,100,19.691
linea_a,-53.7942128,-67.7742361,101,19.829
linea_a,-53.7939833,-67.7740585,102,19.857
linea_a,-53.7923267,-67.7716084,103,20.102
linea_a,-53.790565,-67.771531,104,20.298
linea_a,-53.788025,-67.771412,105,20.581
linea_a,-53.788039,-67.771423,106,20.583
linea_a,-53.786537,-67.771295,107,20.75
linea_a,-53.786572,-67.768709,108,20.92
linea_a,-53.786651,-67.767749,109,20.984
linea_a,-53.786708,-67.765356,110,21.142
linea_a,-53.786689,-67.764552,111,21.195
linea_a,-53.787063,-67.753855,112,21.9
linea_a,-53.787792,-67.754864,113,22.005
linea_a,-53.789719,-67.751044,114,22.335
linea_a,-53.78913,-67.750132,115,22.424
linea_a,-53.787334,-67.747576,116,22.685
linea_a,-53.78739,-67.742636,117,23.01
linea_a,-53.787612,-67.742633,118,23.035
linea_a,-53.788979,-67.742673,119,23.187
linea_a,-53.789207,-67.742289,120,23.223
linea_a,-53.789477,-67.741694,121,23.272
linea_a,-53.789272,-67.740495,122,23.354
linea_a,-53.789312,-67.73814,123,23.509
linea_a,-53.788993,-67.7377,124,23.555
linea_a,-53.78868,-67.737644,125,23.59
linea_a,-53.787643,-67.737606,126,23.705
linea_a,-53.787398,-67.737603,127,23.732
linea_a,-53.787469,-67.728288,128,24.345
linea_a,-53.787418,-67.727044,129,24.427
linea_a,-53.787526,-67.726507,130,24.464
linea_a,-53.787653,-67.726035,131,24.498
linea_a,-53.787627,-67.725413,132,24.539
linea_a,-53.787507,-67.724994,133,24.57
linea_a,-53.78319,-67.718782,134,25.201
linea_a,-53.786347,-67.712517,135,25.743
linea_a,-53.782943,-67.707592,136,26.242
linea_a,-53.784401,-67.704867,137,26.484
linea_a,-53.781764,-67.701037,138,26.871
linea_a,-53.782151,-67.70031,139,26.935
linea_a,-53.782493,-67.699685,140,26.991
linea_a,-53.785086,-67.703483,141,27.373
linea_a,-53.791513,-67.691038,142,28.46
linea_a,-53.79242,-67.6897019,143,28.594
linea_a,-53.7931591,-67.6887037,144,28.699
linea_a,-53.794444,-67.688913,145,28.843
linea_a,-53.794523,-67.689203,146,28.864
linea_a,-53.794713,-67.689064,147,28.887
linea_a,-53.7952662,-67.6889646,148,28.949
linea_a,-53.79752,-67.68915,149,29.2
linea_a,-53.7981084,-67.689251,150,29.266
linea_a,-53.798566,-67.689407,151,29.318
linea_a,-53.798674,-67.689568,152,29.334
linea_a,-53.798769,-67.689525,153,29.345
linea_a,-53.798908,-67.689332,154,29.365
linea_a,-53.799707,-67.689246,155,29.454
linea_a,-53.800397,-67.689064,156,29.532
linea_a,-53.808349,-67.68496,157,30.457
linea_a,-53.80846,-67.685185,158,30.476
linea_a,-53.80858,-67.685067,159,30.491
linea_a,-53.808789,-67.684831,160,30.519
linea_a,-53.808913,-67.684718,161,30.535
linea_a,-53.813771,-67.682165,162,31.101
linea_a,-53.814003,-67.681988,163,31.129
linea_a,-53.814196,-67.681983,164,31.15
linea_a,-53.8154139,-67.676894,165,31.511
linea_a,-53.8158127,-67.6752072,166,31.63
linea_a,-53.814731,-67.6744074,167,31.761
linea_a,-53.8141972,-67.6739865,168,31.827
linea_a,-53.8137994,-67.674267,169,31.875
linea_a,-53.8122126,-67.6753591,170,32.066
linea_a,-53.8115167,-67.6726668,171,32.259
linea_a,-53.8113284,-67.6721599,172,32.298
linea_a,-53.8111401,-67.6719294,173,32.324
linea_a,-53.8109332,-67.6718392,174,32.348
linea_a,-53.810056,-67.6716952,175,32.446
linea_a,-53.8096037,-67.6716274,176,32.497
linea_a,-53.8097596,-67.6711164,177,32.535
linea_a,-53.8099509,-67.6701791,178,32.6
linea_a,-53.810142,-67.66899,179,32.681
linea_a,-53.8109079,-67.6653557,180,32.935
linea_a,-53.811003,-67.664666,181,32.982
linea_a,-53.8058859,-67.6614741,182,33.589
linea_a,-53.8064114,-67.6590387,183,33.759
linea_a,-53.8064607,-67.6588722,184,33.771
linea_a,-53.8065572,-67.658688,185,33.787
linea_a,-53.806635,-67.658572,186,33.799
linea_a,-53.8067363,-67.6582125,187,33.825
linea_a,-53.8073525,-67.6563537,188,33.965
linea_a,-53.8076289,-67.6554363,189,34.033
linea_a,-53.807918,-67.6545377,190,34.1
linea_a,-53.8072128,-67.6536908,191,34.196
linea_a,-53.8066035,-67.6529525,192,34.279
linea_a,-53.805536,-67.651802,193,34.42
linea_a,-53.805007,-67.6531,194,34.524
linea_a,-53.804766,-67.653921,195,34.584
linea_a,-53.804069,-67.657043,196,34.803
linea_a,-53.803737,-67.65906,197,34.941
linea_a,-53.803371,-67.66101,198,35.076
linea_a,-53.8032553,-67.6617183,199,35.124
linea_b,-53.774105,-67.730949,1,0
linea_b,-53.773674,-67.730294,2,0.064
linea_b,-53.770092,-67.737365,3,0.677
linea_b,-53.7694041,-67.7363886,4,0.777
