stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
RG115,RG115,,,-53.783495,-67.70358,,,0,,,0
RG209,RG209,,,-53.802625,-67.66472,,,0,,,0
RG221,RG221,,,-53.795068,-67.68769,,,0,,,0
RG103,RG103,,,-53.788673,-67.753179,,,0,,,0
RG144,RG144,,,-53.803325,-67.661426,,,0,,,0
RG237,RG237,,,-53.76947,-67.716814,,,0,,,0
RG360,RG360,,,-53.796212,-67.697314,,,0,,,0
RG049,RG049,,,-53.798813,-67.750068,,,0,,,0
RG219,RG219,,,-53.797888,-67.68622,,,0,,,0
RG247,RG247,,,-53.761968,-67.72279,,,0,,,0
RG377,RG377,,,-53.768269,-67.73178,,,0,,,0
RG381,RG381,,,-53.77,-67.737338,,,0,,,0
RG386,RG386,,,-53.773047,-67.734414,,,0,,,0
RG018,RG018,,,-53.80966,-67.671458,,,0,,,0
RG045,RG045,,,-53.784116,-67.721143,,,0,,,0
RG051,RG051,,,-53.802751,-67.754332,,,0,,,0
RG205,RG205,,,-53.801826,-67.657397,,,0,,,0
RG356,RG356,,,-53.792207,-67.708687,,,0,,,0
RG372,RG372,,,-53.771208,-67.725091,,,0,,,0
RG042,RG042,,,-53.786391,-67.715017,,,0,,,0
RG061,RG061,,,-53.792207,-67.77144,,,0,,,0
RG128,RG128,,,-53.814988,-67.678662,,,0,,,0
RG307,RG307,,,-53.766845,-67.726609,,,0,,,0
RG361,RG361,,,-53.795429,-67.694868,,,0,,,0
RG038,RG038,,,-53.784699,-67.703687,,,0,,,0
RG132,RG132,,,-53.812793,-67.675025,,,0,,,0
RG242,RG242,,,-53.765079,-67.723514,,,0,,,0
RG253,RG253,,,-53.771097,-67.710795,,,0,,,0
RG311,RG311,,,-53.778651,-67.716041,,,0,,,0
RG022,RG022,,,-53.814126,-67.674086,,,0,,,0
RG034,RG034,,,-53.786575,-67.699921,,,0,,,0
RG112,RG112,,,-53.785013,-67.715231,,,0,,,0
RG004,RG004,,,-53.802637,-67.659044,,,0,,,0
RG058,RG058,,,-53.795008,-67.755121,,,0,,,0
RG106,RG106,,,-53.788036,-67.742665,,,0,,,0
RG107,RG107,,,-53.789418,-67.741866,,,0,,,0
RG236,RG236,,,-53.770824,-67.714158,,,0,,,0
RG321,RG321,,,-53.792812,-67.69946,,,0,,,0
RG248,RG248,,,-53.763116,-67.720118,,,0,,,0
RG305,RG305,,,-53.768345,-67.732,,,0,,,0
RG357,RG357,,,-53.793661,-67.705881,,,0,,,0
RG019,RG019,,,-53.811447,-67.672557,,,0,,,0
RG050,RG050,,,-53.801544,-67.75261,,,0,,,0
RG111,RG111,,,-53.783298,-67.718917,,,0,,,0
